TME_DAY_ID,TME_WK_DAY_NO,TME_MNTH_NO,TME_QTR_NO,TME_YR_NO,TME_DSPL_DT,TME_JUL_DT
77,3,3,1,1997,1997-03-18,35507
78,4,3,1,1997,1997-03-19,35508
79,5,3,1,1997,1997-03-20,35509
80,6,3,1,1997,1997-03-21,35510
81,7,3,1,1997,1997-03-22,35511
82,1,3,1,1997,1997-03-23,35512
83,2,3,1,1997,1997-03-24,35513
84,3,3,1,1997,1997-03-25,35514
85,4,3,1,1997,1997-03-26,35515
86,5,3,1,1997,1997-03-27,35516
87,6,3,1,1997,1997-03-28,35517
88,7,3,1,1997,1997-03-29,35518
89,1,3,1,1997,1997-03-30,35519
90,2,3,1,1997,1997-03-31,35520
91,3,4,2,1997,1997-04-01,35521
92,4,4,2,1997,1997-04-02,35522
93,5,4,2,1997,1997-04-03,35523
94,6,4,2,1997,1997-04-04,35524
95,7,4,2,1997,1997-04-05,35525
96,1,4,2,1997,1997-04-06,35526
97,2,4,2,1997,1997-04-07,35527
98,3,4,2,1997,1997-04-08,35528
99,4,4,2,1997,1997-04-09,35529
100,5,4,2,1997,1997-04-10,35530
101,6,4,2,1997,1997-04-11,35531
102,7,4,2,1997,1997-04-12,35532
103,1,4,2,1997,1997-04-13,35533
104,2,4,2,1997,1997-04-14,35534
105,3,4,2,1997,1997-04-15,35535
106,4,4,2,1997,1997-04-16,35536
107,5,4,2,1997,1997-04-17,35537
108,6,4,2,1997,1997-04-18,35538
109,7,4,2,1997,1997-04-19,35539
110,1,4,2,1997,1997-04-20,35540
111,2,4,2,1997,1997-04-21,35541
112,3,4,2,1997,1997-04-22,35542
113,4,4,2,1997,1997-04-23,35543
114,5,4,2,1997,1997-04-24,35544
115,6,4,2,1997,1997-04-25,35545
116,7,4,2,1997,1997-04-26,35546
117,1,4,2,1997,1997-04-27,35547
118,2,4,2,1997,1997-04-28,35548
119,3,4,2,1997,1997-04-29,35549
120,4,4,2,1997,1997-04-30,35550
121,5,5,2,1997,1997-05-01,35551
122,6,5,2,1997,1997-05-02,35552
123,7,5,2,1997,1997-05-03,35553
124,1,5,2,1997,1997-05-04,35554
125,2,5,2,1997,1997-05-05,35555
126,3,5,2,1997,1997-05-06,35556
127,4,5,2,1997,1997-05-07,35557
128,5,5,2,1997,1997-05-08,35558
129,6,5,2,1997,1997-05-09,35559
130,7,5,2,1997,1997-05-10,35560
131,1,5,2,1997,1997-05-11,35561
132,2,5,2,1997,1997-05-12,35562
133,3,5,2,1997,1997-05-13,35563
134,4,5,2,1997,1997-05-14,35564
135,5,5,2,1997,1997-05-15,35565
136,6,5,2,1997,1997-05-16,35566
137,7,5,2,1997,1997-05-17,35567
138,1,5,2,1997,1997-05-18,35568
139,2,5,2,1997,1997-05-19,35569
140,3,5,2,1997,1997-05-20,35570
141,4,5,2,1997,1997-05-21,35571
142,5,5,2,1997,1997-05-22,35572
143,6,5,2,1997,1997-05-23,35573
144,7,5,2,1997,1997-05-24,35574
145,1,5,2,1997,1997-05-25,35575
146,2,5,2,1997,1997-05-26,35576
147,3,5,2,1997,1997-05-27,35577
148,4,5,2,1997,1997-05-28,35578
149,5,5,2,1997,1997-05-29,35579
150,6,5,2,1997,1997-05-30,35580
151,7,5,2,1997,1997-05-31,35581
152,1,6,2,1997,1997-06-01,35582
153,2,6,2,1997,1997-06-02,35583
154,3,6,2,1997,1997-06-03,35584
155,4,6,2,1997,1997-06-04,35585
156,5,6,2,1997,1997-06-05,35586
157,6,6,2,1997,1997-06-06,35587
158,7,6,2,1997,1997-06-07,35588
159,1,6,2,1997,1997-06-08,35589
160,2,6,2,1997,1997-06-09,35590
161,3,6,2,1997,1997-06-10,35591
162,4,6,2,1997,1997-06-11,35592
163,5,6,2,1997,1997-06-12,35593
164,6,6,2,1997,1997-06-13,35594
165,7,6,2,1997,1997-06-14,35595
166,1,6,2,1997,1997-06-15,35596
167,2,6,2,1997,1997-06-16,35597
168,3,6,2,1997,1997-06-17,35598
169,4,6,2,1997,1997-06-18,35599
170,5,6,2,1997,1997-06-19,35600
171,6,6,2,1997,1997-06-20,35601
172,7,6,2,1997,1997-06-21,35602
173,1,6,2,1997,1997-06-22,35603
174,2,6,2,1997,1997-06-23,35604
175,3,6,2,1997,1997-06-24,35605
176,4,6,2,1997,1997-06-25,35606
177,5,6,2,1997,1997-06-26,35607
178,6,6,2,1997,1997-06-27,35608
179,7,6,2,1997,1997-06-28,35609
180,1,6,2,1997,1997-06-29,35610
181,2,6,2,1997,1997-06-30,35611
182,3,7,3,1997,1997-07-01,35612
183,4,7,3,1997,1997-07-02,35613
184,5,7,3,1997,1997-07-03,35614
185,6,7,3,1997,1997-07-04,35615
186,7,7,3,1997,1997-07-05,35616
187,1,7,3,1997,1997-07-06,35617
188,2,7,3,1997,1997-07-07,35618
189,3,7,3,1997,1997-07-08,35619
190,4,7,3,1997,1997-07-09,35620
191,5,7,3,1997,1997-07-10,35621
192,6,7,3,1997,1997-07-11,35622
193,7,7,3,1997,1997-07-12,35623
194,1,7,3,1997,1997-07-13,35624
195,2,7,3,1997,1997-07-14,35625
196,3,7,3,1997,1997-07-15,35626
197,4,7,3,1997,1997-07-16,35627
198,5,7,3,1997,1997-07-17,35628
199,6,7,3,1997,1997-07-18,35629
200,7,7,3,1997,1997-07-19,35630
201,1,7,3,1997,1997-07-20,35631
202,2,7,3,1997,1997-07-21,35632
203,3,7,3,1997,1997-07-22,35633
204,4,7,3,1997,1997-07-23,35634
205,5,7,3,1997,1997-07-24,35635
206,6,7,3,1997,1997-07-25,35636
207,7,7,3,1997,1997-07-26,35637
208,1,7,3,1997,1997-07-27,35638
209,2,7,3,1997,1997-07-28,35639
210,3,7,3,1997,1997-07-29,35640
211,4,7,3,1997,1997-07-30,35641
212,5,7,3,1997,1997-07-31,35642
213,6,8,3,1997,1997-08-01,35643
214,7,8,3,1997,1997-08-02,35644
215,1,8,3,1997,1997-08-03,35645
216,2,8,3,1997,1997-08-04,35646
217,3,8,3,1997,1997-08-05,35647
218,4,8,3,1997,1997-08-06,35648
219,5,8,3,1997,1997-08-07,35649
220,6,8,3,1997,1997-08-08,35650
221,7,8,3,1997,1997-08-09,35651
222,1,8,3,1997,1997-08-10,35652
223,2,8,3,1997,1997-08-11,35653
224,3,8,3,1997,1997-08-12,35654
225,4,8,3,1997,1997-08-13,35655
226,5,8,3,1997,1997-08-14,35656
227,6,8,3,1997,1997-08-15,35657
228,7,8,3,1997,1997-08-16,35658
229,1,8,3,1997,1997-08-17,35659
230,2,8,3,1997,1997-08-18,35660
231,3,8,3,1997,1997-08-19,35661
232,4,8,3,1997,1997-08-20,35662
233,5,8,3,1997,1997-08-21,35663
234,6,8,3,1997,1997-08-22,35664
235,7,8,3,1997,1997-08-23,35665
236,1,8,3,1997,1997-08-24,35666
237,2,8,3,1997,1997-08-25,35667
238,3,8,3,1997,1997-08-26,35668
239,4,8,3,1997,1997-08-27,35669
240,5,8,3,1997,1997-08-28,35670
241,6,8,3,1997,1997-08-29,35671
242,7,8,3,1997,1997-08-30,35672
243,1,8,3,1997,1997-08-31,35673
244,2,9,3,1997,1997-09-01,35674
245,3,9,3,1997,1997-09-02,35675
246,4,9,3,1997,1997-09-03,35676
247,5,9,3,1997,1997-09-04,35677
248,6,9,3,1997,1997-09-05,35678
249,7,9,3,1997,1997-09-06,35679
250,1,9,3,1997,1997-09-07,35680
251,2,9,3,1997,1997-09-08,35681
252,3,9,3,1997,1997-09-09,35682
253,4,9,3,1997,1997-09-10,35683
254,5,9,3,1997,1997-09-11,35684
255,6,9,3,1997,1997-09-12,35685
256,7,9,3,1997,1997-09-13,35686
257,1,9,3,1997,1997-09-14,35687
258,2,9,3,1997,1997-09-15,35688
259,3,9,3,1997,1997-09-16,35689
260,4,9,3,1997,1997-09-17,35690
261,5,9,3,1997,1997-09-18,35691
262,6,9,3,1997,1997-09-19,35692
263,7,9,3,1997,1997-09-20,35693
264,1,9,3,1997,1997-09-21,35694
265,2,9,3,1997,1997-09-22,35695
266,3,9,3,1997,1997-09-23,35696
267,4,9,3,1997,1997-09-24,35697
268,5,9,3,1997,1997-09-25,35698
269,6,9,3,1997,1997-09-26,35699
270,7,9,3,1997,1997-09-27,35700
271,1,9,3,1997,1997-09-28,35701
272,2,9,3,1997,1997-09-29,35702
273,3,9,3,1997,1997-09-30,35703
274,4,10,4,1997,1997-10-01,35704
275,5,10,4,1997,1997-10-02,35705
276,6,10,4,1997,1997-10-03,35706
277,7,10,4,1997,1997-10-04,35707
278,1,10,4,1997,1997-10-05,35708
279,2,10,4,1997,1997-10-06,35709
280,3,10,4,1997,1997-10-07,35710
281,4,10,4,1997,1997-10-08,35711
282,5,10,4,1997,1997-10-09,35712
283,6,10,4,1997,1997-10-10,35713
284,7,10,4,1997,1997-10-11,35714
285,1,10,4,1997,1997-10-12,35715
286,2,10,4,1997,1997-10-13,35716
287,3,10,4,1997,1997-10-14,35717
288,4,10,4,1997,1997-10-15,35718
289,5,10,4,1997,1997-10-16,35719
290,6,10,4,1997,1997-10-17,35720
291,7,10,4,1997,1997-10-18,35721
292,1,10,4,1997,1997-10-19,35722
293,2,10,4,1997,1997-10-20,35723
294,3,10,4,1997,1997-10-21,35724
295,4,10,4,1997,1997-10-22,35725
296,5,10,4,1997,1997-10-23,35726
297,6,10,4,1997,1997-10-24,35727
298,7,10,4,1997,1997-10-25,35728
299,1,10,4,1997,1997-10-26,35729
300,2,10,4,1997,1997-10-27,35730
301,3,10,4,1997,1997-10-28,35731
302,4,10,4,1997,1997-10-29,35732
303,5,10,4,1997,1997-10-30,35733
304,6,10,4,1997,1997-10-31,35734
305,7,11,4,1997,1997-11-01,35735
306,1,11,4,1997,1997-11-02,35736
307,2,11,4,1997,1997-11-03,35737
308,3,11,4,1997,1997-11-04,35738
309,4,11,4,1997,1997-11-05,35739
310,5,11,4,1997,1997-11-06,35740
311,6,11,4,1997,1997-11-07,35741
312,7,11,4,1997,1997-11-08,35742
313,1,11,4,1997,1997-11-09,35743
314,2,11,4,1997,1997-11-10,35744
315,3,11,4,1997,1997-11-11,35745
316,4,11,4,1997,1997-11-12,35746
317,5,11,4,1997,1997-11-13,35747
318,6,11,4,1997,1997-11-14,35748
319,7,11,4,1997,1997-11-15,35749
320,1,11,4,1997,1997-11-16,35750
321,2,11,4,1997,1997-11-17,35751
322,3,11,4,1997,1997-11-18,35752
323,4,11,4,1997,1997-11-19,35753
324,5,11,4,1997,1997-11-20,35754
325,6,11,4,1997,1997-11-21,35755
326,7,11,4,1997,1997-11-22,35756
327,1,11,4,1997,1997-11-23,35757
328,2,11,4,1997,1997-11-24,35758
329,3,11,4,1997,1997-11-25,35759
330,4,11,4,1997,1997-11-26,35760
331,5,11,4,1997,1997-11-27,35761
332,6,11,4,1997,1997-11-28,35762
333,7,11,4,1997,1997-11-29,35763
334,1,11,4,1997,1997-11-30,35764
335,2,12,4,1997,1997-12-01,35765
336,3,12,4,1997,1997-12-02,35766
337,4,12,4,1997,1997-12-03,35767
338,5,12,4,1997,1997-12-04,35768
339,6,12,4,1997,1997-12-05,35769
340,7,12,4,1997,1997-12-06,35770
341,1,12,4,1997,1997-12-07,35771
342,2,12,4,1997,1997-12-08,35772
343,3,12,4,1997,1997-12-09,35773
344,4,12,4,1997,1997-12-10,35774
345,5,12,4,1997,1997-12-11,35775
346,6,12,4,1997,1997-12-12,35776
347,7,12,4,1997,1997-12-13,35777
348,1,12,4,1997,1997-12-14,35778
349,2,12,4,1997,1997-12-15,35779
350,3,12,4,1997,1997-12-16,35780
351,4,12,4,1997,1997-12-17,35781
352,5,12,4,1997,1997-12-18,35782
353,6,12,4,1997,1997-12-19,35783
354,7,12,4,1997,1997-12-20,35784
355,1,12,4,1997,1997-12-21,35785
356,2,12,4,1997,1997-12-22,35786
357,3,12,4,1997,1997-12-23,35787
358,4,12,4,1997,1997-12-24,35788
359,5,12,4,1997,1997-12-25,35789
360,6,12,4,1997,1997-12-26,35790
361,7,12,4,1997,1997-12-27,35791
362,1,12,4,1997,1997-12-28,35792
363,2,12,4,1997,1997-12-29,35793
364,3,12,4,1997,1997-12-30,35794
365,4,12,4,1997,1997-12-31,35795
366,5,1,1,1998,1998-01-01,35796
367,6,1,1,1998,1998-01-02,35797
368,7,1,1,1998,1998-01-03,35798
369,1,1,1,1998,1998-01-04,35799
370,2,1,1,1998,1998-01-05,35800
371,3,1,1,1998,1998-01-06,35801
372,4,1,1,1998,1998-01-07,35802
373,5,1,1,1998,1998-01-08,35803
374,6,1,1,1998,1998-01-09,35804
375,7,1,1,1998,1998-01-10,35805
376,1,1,1,1998,1998-01-11,35806
377,2,1,1,1998,1998-01-12,35807
378,3,1,1,1998,1998-01-13,35808
379,4,1,1,1998,1998-01-14,35809
380,5,1,1,1998,1998-01-15,35810
381,6,1,1,1998,1998-01-16,35811
382,7,1,1,1998,1998-01-17,35812
383,1,1,1,1998,1998-01-18,35813
384,2,1,1,1998,1998-01-19,35814
385,3,1,1,1998,1998-01-20,35815
386,4,1,1,1998,1998-01-21,35816
387,5,1,1,1998,1998-01-22,35817
388,6,1,1,1998,1998-01-23,35818
389,7,1,1,1998,1998-01-24,35819
390,1,1,1,1998,1998-01-25,35820
391,2,1,1,1998,1998-01-26,35821
392,3,1,1,1998,1998-01-27,35822
393,4,1,1,1998,1998-01-28,35823
394,5,1,1,1998,1998-01-29,35824
395,6,1,1,1998,1998-01-30,35825
396,7,1,1,1998,1998-01-31,35826
397,1,2,1,1998,1998-02-01,35827
398,2,2,1,1998,1998-02-02,35828
399,3,2,1,1998,1998-02-03,35829
400,4,2,1,1998,1998-02-04,35830
401,5,2,1,1998,1998-02-05,35831
402,6,2,1,1998,1998-02-06,35832
403,7,2,1,1998,1998-02-07,35833
404,1,2,1,1998,1998-02-08,35834
405,2,2,1,1998,1998-02-09,35835
406,3,2,1,1998,1998-02-10,35836
407,4,2,1,1998,1998-02-11,35837
408,5,2,1,1998,1998-02-12,35838
409,6,2,1,1998,1998-02-13,35839
410,7,2,1,1998,1998-02-14,35840
411,1,2,1,1998,1998-02-15,35841
412,2,2,1,1998,1998-02-16,35842
413,3,2,1,1998,1998-02-17,35843
414,4,2,1,1998,1998-02-18,35844
415,5,2,1,1998,1998-02-19,35845
416,6,2,1,1998,1998-02-20,35846
417,7,2,1,1998,1998-02-21,35847
418,1,2,1,1998,1998-02-22,35848
419,2,2,1,1998,1998-02-23,35849
420,3,2,1,1998,1998-02-24,35850
421,4,2,1,1998,1998-02-25,35851
422,5,2,1,1998,1998-02-26,35852
423,6,2,1,1998,1998-02-27,35853
424,7,2,1,1998,1998-02-28,35854
425,1,3,1,1998,1998-03-01,35855
426,2,3,1,1998,1998-03-02,35856
427,3,3,1,1998,1998-03-03,35857
428,4,3,1,1998,1998-03-04,35858
429,5,3,1,1998,1998-03-05,35859
430,6,3,1,1998,1998-03-06,35860
431,7,3,1,1998,1998-03-07,35861
432,1,3,1,1998,1998-03-08,35862
433,2,3,1,1998,1998-03-09,35863
434,3,3,1,1998,1998-03-10,35864
435,4,3,1,1998,1998-03-11,35865
436,5,3,1,1998,1998-03-12,35866
437,6,3,1,1998,1998-03-13,35867
438,7,3,1,1998,1998-03-14,35868
439,1,3,1,1998,1998-03-15,35869
440,2,3,1,1998,1998-03-16,35870
441,3,3,1,1998,1998-03-17,35871
442,4,3,1,1998,1998-03-18,35872
443,5,3,1,1998,1998-03-19,35873
444,6,3,1,1998,1998-03-20,35874
445,7,3,1,1998,1998-03-21,35875
446,1,3,1,1998,1998-03-22,35876
447,2,3,1,1998,1998-03-23,35877
448,3,3,1,1998,1998-03-24,35878
449,4,3,1,1998,1998-03-25,35879
450,5,3,1,1998,1998-03-26,35880
451,6,3,1,1998,1998-03-27,35881
452,7,3,1,1998,1998-03-28,35882
453,1,3,1,1998,1998-03-29,35883
454,2,3,1,1998,1998-03-30,35884
455,3,3,1,1998,1998-03-31,35885
456,4,4,2,1998,1998-04-01,35886
457,5,4,2,1998,1998-04-02,35887
458,6,4,2,1998,1998-04-03,35888
459,7,4,2,1998,1998-04-04,35889
460,1,4,2,1998,1998-04-05,35890
461,2,4,2,1998,1998-04-06,35891
462,3,4,2,1998,1998-04-07,35892
463,4,4,2,1998,1998-04-08,35893
464,5,4,2,1998,1998-04-09,35894
465,6,4,2,1998,1998-04-10,35895
466,7,4,2,1998,1998-04-11,35896
467,1,4,2,1998,1998-04-12,35897
468,2,4,2,1998,1998-04-13,35898
469,3,4,2,1998,1998-04-14,35899
470,4,4,2,1998,1998-04-15,35900
471,5,4,2,1998,1998-04-16,35901
472,6,4,2,1998,1998-04-17,35902
473,7,4,2,1998,1998-04-18,35903
474,1,4,2,1998,1998-04-19,35904
475,2,4,2,1998,1998-04-20,35905
476,3,4,2,1998,1998-04-21,35906
477,4,4,2,1998,1998-04-22,35907
478,5,4,2,1998,1998-04-23,35908
479,6,4,2,1998,1998-04-24,35909
480,7,4,2,1998,1998-04-25,35910
481,1,4,2,1998,1998-04-26,35911
482,2,4,2,1998,1998-04-27,35912
483,3,4,2,1998,1998-04-28,35913
484,4,4,2,1998,1998-04-29,35914
485,5,4,2,1998,1998-04-30,35915
486,6,5,2,1998,1998-05-01,35916
487,7,5,2,1998,1998-05-02,35917
488,1,5,2,1998,1998-05-03,35918
489,2,5,2,1998,1998-05-04,35919
490,3,5,2,1998,1998-05-05,35920
491,4,5,2,1998,1998-05-06,35921
492,5,5,2,1998,1998-05-07,35922
493,6,5,2,1998,1998-05-08,35923
494,7,5,2,1998,1998-05-09,35924
495,1,5,2,1998,1998-05-10,35925
496,2,5,2,1998,1998-05-11,35926
497,3,5,2,1998,1998-05-12,35927
498,4,5,2,1998,1998-05-13,35928
499,5,5,2,1998,1998-05-14,35929
500,6,5,2,1998,1998-05-15,35930
501,7,5,2,1998,1998-05-16,35931
502,1,5,2,1998,1998-05-17,35932
503,2,5,2,1998,1998-05-18,35933
504,3,5,2,1998,1998-05-19,35934
505,4,5,2,1998,1998-05-20,35935
506,5,5,2,1998,1998-05-21,35936
507,6,5,2,1998,1998-05-22,35937
508,7,5,2,1998,1998-05-23,35938
509,1,5,2,1998,1998-05-24,35939
510,2,5,2,1998,1998-05-25,35940
511,3,5,2,1998,1998-05-26,35941
512,4,5,2,1998,1998-05-27,35942
513,5,5,2,1998,1998-05-28,35943
514,6,5,2,1998,1998-05-29,35944
515,7,5,2,1998,1998-05-30,35945
516,1,5,2,1998,1998-05-31,35946
517,2,6,2,1998,1998-06-01,35947
518,3,6,2,1998,1998-06-02,35948
519,4,6,2,1998,1998-06-03,35949
520,5,6,2,1998,1998-06-04,35950
521,6,6,2,1998,1998-06-05,35951
522,7,6,2,1998,1998-06-06,35952
523,1,6,2,1998,1998-06-07,35953
524,2,6,2,1998,1998-06-08,35954
525,3,6,2,1998,1998-06-09,35955
526,4,6,2,1998,1998-06-10,35956
527,5,6,2,1998,1998-06-11,35957
528,6,6,2,1998,1998-06-12,35958
529,7,6,2,1998,1998-06-13,35959
530,1,6,2,1998,1998-06-14,35960
531,2,6,2,1998,1998-06-15,35961
532,3,6,2,1998,1998-06-16,35962
533,4,6,2,1998,1998-06-17,35963
534,5,6,2,1998,1998-06-18,35964
535,6,6,2,1998,1998-06-19,35965
536,7,6,2,1998,1998-06-20,35966
537,1,6,2,1998,1998-06-21,35967
538,2,6,2,1998,1998-06-22,35968
539,3,6,2,1998,1998-06-23,35969
540,4,6,2,1998,1998-06-24,35970
541,5,6,2,1998,1998-06-25,35971
542,6,6,2,1998,1998-06-26,35972
543,7,6,2,1998,1998-06-27,35973
544,1,6,2,1998,1998-06-28,35974
545,2,6,2,1998,1998-06-29,35975
546,3,6,2,1998,1998-06-30,35976
547,4,7,3,1998,1998-07-01,35977
548,5,7,3,1998,1998-07-02,35978
549,6,7,3,1998,1998-07-03,35979
550,7,7,3,1998,1998-07-04,35980
551,1,7,3,1998,1998-07-05,35981
552,2,7,3,1998,1998-07-06,35982
553,3,7,3,1998,1998-07-07,35983
554,4,7,3,1998,1998-07-08,35984
555,5,7,3,1998,1998-07-09,35985
556,6,7,3,1998,1998-07-10,35986
557,7,7,3,1998,1998-07-11,35987
558,1,7,3,1998,1998-07-12,35988
559,2,7,3,1998,1998-07-13,35989
560,3,7,3,1998,1998-07-14,35990
561,4,7,3,1998,1998-07-15,35991
562,5,7,3,1998,1998-07-16,35992
563,6,7,3,1998,1998-07-17,35993
564,7,7,3,1998,1998-07-18,35994
565,1,7,3,1998,1998-07-19,35995
566,2,7,3,1998,1998-07-20,35996
567,3,7,3,1998,1998-07-21,35997
568,4,7,3,1998,1998-07-22,35998
569,5,7,3,1998,1998-07-23,35999
570,6,7,3,1998,1998-07-24,36000
571,7,7,3,1998,1998-07-25,36001
572,1,7,3,1998,1998-07-26,36002
573,2,7,3,1998,1998-07-27,36003
574,3,7,3,1998,1998-07-28,36004
575,4,7,3,1998,1998-07-29,36005
576,5,7,3,1998,1998-07-30,36006
577,6,7,3,1998,1998-07-31,36007
578,7,8,3,1998,1998-08-01,36008
579,1,8,3,1998,1998-08-02,36009
580,2,8,3,1998,1998-08-03,36010
581,3,8,3,1998,1998-08-04,36011
582,4,8,3,1998,1998-08-05,36012
583,5,8,3,1998,1998-08-06,36013
584,6,8,3,1998,1998-08-07,36014
585,7,8,3,1998,1998-08-08,36015
586,1,8,3,1998,1998-08-09,36016
587,2,8,3,1998,1998-08-10,36017
588,3,8,3,1998,1998-08-11,36018
589,4,8,3,1998,1998-08-12,36019
590,5,8,3,1998,1998-08-13,36020
591,6,8,3,1998,1998-08-14,36021
592,7,8,3,1998,1998-08-15,36022
593,1,8,3,1998,1998-08-16,36023
594,2,8,3,1998,1998-08-17,36024
595,3,8,3,1998,1998-08-18,36025
596,4,8,3,1998,1998-08-19,36026
597,5,8,3,1998,1998-08-20,36027
598,6,8,3,1998,1998-08-21,36028
599,7,8,3,1998,1998-08-22,36029
600,1,8,3,1998,1998-08-23,36030
601,2,8,3,1998,1998-08-24,36031
602,3,8,3,1998,1998-08-25,36032
603,4,8,3,1998,1998-08-26,36033
604,5,8,3,1998,1998-08-27,36034
605,6,8,3,1998,1998-08-28,36035
606,7,8,3,1998,1998-08-29,36036
607,1,8,3,1998,1998-08-30,36037
608,2,8,3,1998,1998-08-31,36038
609,3,9,3,1998,1998-09-01,36039
610,4,9,3,1998,1998-09-02,36040
611,5,9,3,1998,1998-09-03,36041
612,6,9,3,1998,1998-09-04,36042
613,7,9,3,1998,1998-09-05,36043
614,1,9,3,1998,1998-09-06,36044
615,2,9,3,1998,1998-09-07,36045
616,3,9,3,1998,1998-09-08,36046
617,4,9,3,1998,1998-09-09,36047
618,5,9,3,1998,1998-09-10,36048
619,6,9,3,1998,1998-09-11,36049
620,7,9,3,1998,1998-09-12,36050
621,1,9,3,1998,1998-09-13,36051
622,2,9,3,1998,1998-09-14,36052
623,3,9,3,1998,1998-09-15,36053
624,4,9,3,1998,1998-09-16,36054
625,5,9,3,1998,1998-09-17,36055
626,6,9,3,1998,1998-09-18,36056
627,7,9,3,1998,1998-09-19,36057
628,1,9,3,1998,1998-09-20,36058
629,2,9,3,1998,1998-09-21,36059
630,3,9,3,1998,1998-09-22,36060
631,4,9,3,1998,1998-09-23,36061
632,5,9,3,1998,1998-09-24,36062
633,6,9,3,1998,1998-09-25,36063
634,7,9,3,1998,1998-09-26,36064
635,1,9,3,1998,1998-09-27,36065
636,2,9,3,1998,1998-09-28,36066
637,3,9,3,1998,1998-09-29,36067
638,4,9,3,1998,1998-09-30,36068
639,5,10,4,1998,1998-10-01,36069
640,6,10,4,1998,1998-10-02,36070
641,7,10,4,1998,1998-10-03,36071
642,1,10,4,1998,1998-10-04,36072
643,2,10,4,1998,1998-10-05,36073
644,3,10,4,1998,1998-10-06,36074
645,4,10,4,1998,1998-10-07,36075
646,5,10,4,1998,1998-10-08,36076
647,6,10,4,1998,1998-10-09,36077
648,7,10,4,1998,1998-10-10,36078
649,1,10,4,1998,1998-10-11,36079
650,2,10,4,1998,1998-10-12,36080
651,3,10,4,1998,1998-10-13,36081
652,4,10,4,1998,1998-10-14,36082
653,5,10,4,1998,1998-10-15,36083
654,6,10,4,1998,1998-10-16,36084
655,7,10,4,1998,1998-10-17,36085
656,1,10,4,1998,1998-10-18,36086
657,2,10,4,1998,1998-10-19,36087
658,3,10,4,1998,1998-10-20,36088
659,4,10,4,1998,1998-10-21,36089
