Column Physical_Name,Comment,Domain Parent,Null Option,Physical Data Type
STR_NO,"This is the store number used by the source system to identify a store.   Since the data warehouse may have many source systems with duplicate keys, the data warehouse use an internal generated primary key, while the native key is stored here.",Number,Not Null,NUMERIC(5)
STR_NM,"The legal name of a store, or organization as recognized by the tax authorities.",String,Not Null,VARCHAR(20)
STR_STREET_AD,"The physical street, P.O. box, or suite address of a store.",String,Not Null,VARCHAR(20)
STR_CTY_NM,"The city, town or municipality name where a store is located, as identified by the postal address.",String,Null,VARCHAR(20)
STR_STATE_CD,The state code of a store.  I.e. FL for Florida and NC for North Carolina.,String,Null,VARCHAR(2)
STR_POST_CD,"This is a code used by the postal authorities to locate an address. In the US, this is the zip code, while in other countries it may also contain characters.",String,Null,VARCHAR(20)
STR_MAN_NM,The name of the most senior individual in a store as recognized by the organizational hierarchy.,String,Not Null,VARCHAR(20)
STR_MAN_PHN_NO,The phone number of a store manager absent of non-numerical characters.  I.e. the phone number 011-46 (704) 123-1234 is stored as 011467041231234.,Number,Not Null,NUMERIC(15)
STR_LVL_CD,"This code is used to classify the store as a ""M"" for Max store if the total square meter of floor space exceeds 5,000.  ""R"" for Regular store if the total square meter of floor space exceeds 2,500.  ""S"" for Small store if the total square meter of floor space is less than 2,500.",String,Null,VARCHAR(1)
STR_START_DT,"The date a store was established, using the Julian calendar, in the format of mm/dd/yyyy. I.e, 06/26/1966 for June 26, 1966.",Datetime,Not Null,DATE
TME_DAY_ID,This is a sequential generated key for the purpose of uniquely identify a day.  The key is not to be displayed to end users.,Number,Not Null,NUMERIC(5)
TME_WK_DAY_NO,"This is the number of the day of the week. I.e. Monday is ""1""; Tuesday is ""2"" etc.   The number are reset for each week, so that all Monday's will start with ""1"" and all Tuesdays with ""2""... etc.",Number,Null,NUMERIC(1)
TME_MNTH_NO,"This is the number of a calendar month from 1 to 12. Where January is ""1"" and February is ""2"" etc...",Number,Null,NUMERIC(2)
TME_QTR_NO,"This is the quarter of a calendar year, where  January, February and March is ""1"";  April, May and June is ""2"";  July, August and September is ""3"";  October, November and December is ""4"".",Number,Null,NUMERIC(1)
TME_YR_NO,"This is the four digit year number used in the Julian calendar, represented as ""1999"", ""2000"", and ""2001"", etc...",Number,Not Null,NUMERIC(4)
TME_DSPL_DT,"This is the date of the Julian day. represented as ""mm/dd/yyyy"",   I.e, ""06/26/1966"" for June, 26, 1966.",Datetime,Not Null,DATE
TME_JUL_DT,"This is a sequential number for numbering the days, starting with ""1"" for the day of 1/1/1900, and ""2"" for the day of 1/2/1900, etc.",Datetime,Not Null,DATE
